FeatureID,FeatureName,cluster 1 Average,cluster 1 Log2 Fold Change,cluster 1 P-Value,cluster 2 Average,cluster 2 Log2 Fold Change,cluster 2 P-Value,cluster 3 Average,cluster 3 Log2 Fold Change,cluster 3 P-Value
ENSMUSG00000060938,Rpl26,8.401789397,0.285318109,0.649016246,,,,5.780031739,-0.462648622,0.675330119
ENSMUSG00000046364,Rpl27a,13.33469576,0.312337265,0.574814385,,,,8.609101301,-0.551165692,0.5882798
ENSMUSG00000058600,Rpl30,,,,,,,10.79968573,-0.465088062,0.670792343
ENSMUSG00000073702,Rpl31,,,,2.133183456,-0.002165775,1,,,
ENSMUSG00000057841,Rpl32,17.44131623,0.374510421,0.421381126,,,,10.70797605,-0.602114197,0.511867297
ENSMUSG00000062997,Rpl35,,,,12.76687093,-0.056827047,1,,,
ENSMUSG00000057863,Rpl36,15.23594137,0.347199106,0.483918936,,,,9.037466778,-0.669126029,0.40869463
ENSMUSG00000079435,Rpl36a,8.395368242,0.412690333,0.330335441,,,,4.948840189,-0.648953849,0.444902158
ENSMUSG00000041841,Rpl37,13.43568302,0.30559223,0.589055207,,,,8.923700337,-0.509227783,0.641263772
ENSMUSG00000046330,Rpl37a,16.17926741,0.396832197,0.36695276,13.6929407,-0.096300674,1,8.49533486,-0.838063856,0.189779438
ENSMUSG00000057322,Rpl38,,,,,,,7.110402571,-0.525662716,0.632874047
ENSMUSG00000079641,Rpl39,19.9531553,0.341148822,0.503662697,,,,12.65245349,-0.566291159,0.565197612
ENSMUSG00000043716,Rpl7,,,,7.482042135,-0.018969687,1,,,
ENSMUSG00000062647,Rpl7a,,,,4.193742416,-0.077682693,1,,,
ENSMUSG00000047215,Rpl9,2.943515809,0.294357268,0.626070447,,,,,,
ENSMUSG00000067274,Rplp0,16.93316938,0.337852994,0.515267717,,,,,,
ENSMUSG00000007892,Rplp1,16.31703037,0.603988631,0.047632738,11.25636734,-0.406084302,0.63276362,9.328848173,-0.614486939,0.487328056
ENSMUSG00000025508,Rplp2,,,,,,,6.366277175,-0.465039145,0.67083232
ENSMUSG00000061983,Rps12,9.740016466,0.350649877,0.475204604,,,,,,
ENSMUSG00000024608,Rps14,,,,,,,7.602616561,-0.465262037,0.670792343
ENSMUSG00000008683,Rps15a,,,,,,,13.99327226,-0.530342863,0.626032846
ENSMUSG00000008668,Rps18,8.809532738,0.366406753,0.438008077,,,,5.800927616,-0.494334771,0.641263772
ENSMUSG00000044533,Rps2,,,,,,,10.66386253,-0.465473508,0.670792343
ENSMUSG00000039001,Rps21,13.32593964,0.305880837,0.588257346,,,,8.27476727,-0.616020472,0.483977944
ENSMUSG00000025290,Rps24,,,,,,,21.19886716,-0.556044804,0.580669714
ENSMUSG00000090733,Rps27,,,,,,,14.72230619,-0.665132176,0.41234948
ENSMUSG00000034892,Rps29,,,,,,,11.85028399,-0.575215179,0.556704267
ENSMUSG00000012848,Rps5,,,,,,,12.39357679,-0.538593478,0.608479915
ENSMUSG00000028495,Rps6,4.61359984,0.351676414,0.474361965,,,,3.026419511,-0.50702183,0.641263772
ENSMUSG00000032518,Rpsa,21.76742345,0.307565667,0.587315,,,,12.41795531,-0.749010197,0.290996449
ENSMUSG00000041959,S100a10,0.248673819,-2.204542825,2.67E-21,1.041667345,1.097942253,2.47E-05,1.432528453,1.330301665,0.000144833
ENSMUSG00000045092,S1pr1,1.506928321,1.357118117,1.02E-08,0.52513098,-1.368462794,3.88E-07,0.75805598,-0.549383716,0.641263772
ENSMUSG00000027639,Samhd1,0.328646386,-1.452274277,6.02E-10,0.835826314,0.805572324,0.006901982,1.072655016,1.00651335,0.013980024
ENSMUSG00000046229,Scand1,,,,1.156405456,-0.062885582,1,,,
ENSMUSG00000026581,Sell,0.428174288,-1.093354971,9.40E-06,1.166718994,1.585617481,2.18E-11,0.231015528,-1.648299797,0.000857473
ENSMUSG00000017707,Serinc3,,,,2.045948114,-0.002579143,1,3.05428068,0.685689088,0.221210621
ENSMUSG00000027808,Serp1,1.663079135,-0.517102149,0.130105848,2.349767756,0.365496561,0.725684677,,,
ENSMUSG00000025647,Shisa5,,,,3.4081946,0.452908619,0.427109277,,,
ENSMUSG00000030468,Siglecg,,,,1.146951379,-0.414147825,0.621793395,1.99671713,0.613945835,0.34508604
ENSMUSG00000037822,Smim14,0.78980206,-0.539253942,0.10872733,1.091516112,0.29057058,0.957092601,1.449941683,0.649210613,0.285188166
ENSMUSG00000027404,Snrpb,,,,0.963886078,-0.032855778,1,,,
ENSMUSG00000034484,Snx2,0.624311385,-0.665568196,0.022819147,1.005569961,0.543890988,0.203595498,,,
ENSMUSG00000008193,Spib,0.529161543,-0.70554121,0.014512873,,,,1.528881663,1.436520922,1.69E-05
ENSMUSG00000020077,Srgn,,,,3.004677423,0.363209095,0.735959198,1.89455951,-0.496823419,0.641263772
ENSMUSG00000026094,Stk17b,,,,1.529411749,0.398568822,0.621226049,,,
ENSMUSG00000026547,Tagln2,0.180959822,-2.394167752,5.77E-23,0.813480315,0.983156253,0.000568494,1.328049068,1.603529244,1.90E-06
